timestamp,simple-path,time
"2022-05-20 01:49:32.159","/master/welcome",4084
"2022-05-20 01:49:32.815","/master/welcome",588
"2022-05-20 01:49:35.122","/master/sign-in",1681
"2022-05-20 01:49:36.383","/master/welcome",577
"2022-05-20 01:49:37.113","/authenticated/inventor/create",571
"2022-05-20 01:49:39.183","/master/welcome",560
"2022-05-20 01:49:39.865","/authenticated/inventor/update",552
"2022-05-20 01:49:40.441","/master/welcome",306
"2022-05-20 01:49:41.063","/master/welcome",562
"2022-05-20 01:49:43.458","/master/welcome",284
"2022-05-20 01:49:43.798","/master/welcome",301
"2022-05-20 01:49:44.418","/master/sign-in",559
"2022-05-20 01:49:45.716","/master/welcome",561
"2022-05-20 01:49:46.425","/authenticated/inventor/create",552
"2022-05-20 01:49:47.538","/master/welcome",579
"2022-05-20 01:49:48.235","/authenticated/inventor/update",565
"2022-05-20 01:49:48.822","/master/welcome",341
"2022-05-20 01:49:49.445","/master/welcome",565
"2022-05-20 01:49:51.831","/master/welcome",284
"2022-05-20 01:49:52.151","/master/welcome",273
"2022-05-20 01:49:52.767","/master/sign-in",559
"2022-05-20 01:49:54.03","/master/welcome",571
"2022-05-20 01:49:54.748","/authenticated/inventor/create",564
"2022-05-20 01:49:55.807","/master/welcome",584
"2022-05-20 01:49:56.484","/authenticated/inventor/update",551
"2022-05-20 01:49:57.014","/master/welcome",295
"2022-05-20 01:49:57.636","/master/welcome",563
"2022-05-20 01:50:00.023","/master/welcome",290
"2022-05-20 01:50:00.379","/master/welcome",311
"2022-05-20 01:50:01.026","/master/sign-in",565
"2022-05-20 01:50:02.265","/master/welcome",581
"2022-05-20 01:50:02.981","/authenticated/inventor/create",563
"2022-05-20 01:50:04.058","/master/welcome",578
"2022-05-20 01:50:04.743","/authenticated/inventor/update",560
"2022-05-20 01:50:05.248","/master/welcome",271
"2022-05-20 01:50:05.867","/master/welcome",560
"2022-05-20 01:50:08.254","/master/welcome",284
"2022-05-20 01:50:08.579","/master/welcome",283
"2022-05-20 01:50:09.205","/master/sign-in",564
"2022-05-20 01:50:10.469","/master/welcome",593
"2022-05-20 01:50:11.188","/authenticated/inventor/create",561
"2022-05-20 01:50:12.255","/master/welcome",578
"2022-05-20 01:50:12.942","/authenticated/inventor/update",560
"2022-05-20 01:50:13.49","/master/welcome",309
"2022-05-20 01:50:14.117","/master/welcome",570
"2022-05-20 01:50:16.515","/master/welcome",291
"2022-05-20 01:50:16.841","/master/welcome",281
"2022-05-20 01:50:17.467","/master/sign-in",552
"2022-05-20 01:50:18.698","/master/welcome",580
"2022-05-20 01:50:19.41","/authenticated/inventor/create",554
"2022-05-20 01:50:20.533","/master/welcome",581
"2022-05-20 01:50:21.217","/authenticated/inventor/update",558
"2022-05-20 01:50:21.73","/master/welcome",281
"2022-05-20 01:50:22.356","/master/welcome",561
"2022-05-20 01:50:24.754","/master/welcome",295
"2022-05-20 01:50:25.079","/master/welcome",283
"2022-05-20 01:50:25.704","/master/sign-in",560
"2022-05-20 01:50:26.948","/master/welcome",573
"2022-05-20 01:50:27.668","/authenticated/inventor/create",563
"2022-05-20 01:50:28.856","/master/welcome",583
"2022-05-20 01:50:29.544","/authenticated/inventor/update",564
"2022-05-20 01:50:30.06","/master/welcome",281
"2022-05-20 01:50:30.685","/master/welcome",564
"2022-05-20 01:50:33.108","/master/welcome",332
"2022-05-20 01:50:33.468","/master/welcome",318
"2022-05-20 01:50:34.103","/master/sign-in",558
"2022-05-20 01:50:35.329","/master/welcome",559
"2022-05-20 01:50:36.044","/authenticated/inventor/create",559
"2022-05-20 01:50:37.133","/authenticated/inventor/create",570
"2022-05-20 01:50:37.459","/master/welcome",255
"2022-05-20 01:50:38.082","/master/welcome",559
"2022-05-20 01:50:40.477","/master/welcome",304
"2022-05-20 01:50:40.784","/master/welcome",262
"2022-05-20 01:50:41.413","/master/sign-in",566
"2022-05-20 01:50:42.675","/master/welcome",575
"2022-05-20 01:50:43.392","/authenticated/inventor/create",561
"2022-05-20 01:50:44.426","/authenticated/inventor/create",580
"2022-05-20 01:50:44.777","/master/welcome",288
"2022-05-20 01:50:45.417","/master/welcome",563
"2022-05-20 01:50:47.778","/master/welcome",262
"2022-05-20 01:50:48.097","/master/welcome",267
"2022-05-20 01:50:48.721","/master/sign-in",560
"2022-05-20 01:50:49.953","/master/welcome",575
"2022-05-20 01:50:50.674","/authenticated/inventor/create",564
"2022-05-20 01:50:51.72","/authenticated/inventor/create",576
"2022-05-20 01:50:52.038","/master/welcome",263
"2022-05-20 01:50:52.654","/master/welcome",562
"2022-05-20 01:50:55.158","/master/welcome",406
"2022-05-20 01:50:55.495","/master/welcome",291
"2022-05-20 01:50:56.12","/master/sign-in",561
"2022-05-20 01:50:57.37","/master/welcome",578
"2022-05-20 01:50:58.087","/authenticated/inventor/create",561
"2022-05-20 01:50:59.205","/authenticated/inventor/create",576
"2022-05-20 01:50:59.536","/master/welcome",266
"2022-05-20 01:51:00.154","/master/welcome",560
"2022-05-20 01:51:02.559","/master/welcome",286
"2022-05-20 01:51:02.867","/master/welcome",264
"2022-05-20 01:51:03.491","/master/sign-in",565
"2022-05-20 01:51:04.721","/master/welcome",560
"2022-05-20 01:51:05.438","/authenticated/inventor/create",562
"2022-05-20 01:51:06.611","/authenticated/inventor/create",579
"2022-05-20 01:51:06.953","/master/welcome",281
"2022-05-20 01:51:07.577","/master/welcome",561
"2022-05-20 01:51:09.966","/master/welcome",295
"2022-05-20 01:51:12.592","/authenticated/inventor/create",564
"2022-05-20 01:51:13.007","/master/welcome",361
"2022-05-20 01:51:13.635","/master/sign-in",555
"2022-05-20 01:51:14.871","/master/welcome",564
"2022-05-20 01:51:15.245","/authenticated/inventor/create",301
"2022-05-20 01:51:15.655","/master/welcome",350
"2022-05-20 01:51:16.279","/master/welcome",559
